视频地址,弹幕地址,弹幕时间,弹幕内容,情感得分,分析结果
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-23 23:01:07,？？？,0.09195402298850586,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-23 21:30:14,666啊,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-22 20:18:23,yee,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-20 21:43:40,牛逼,0.6923786120385603,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-20 21:00:06,我累了,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-20 20:56:09,666,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-20 14:17:00,哇,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-20 10:29:08,6,0.38994800693240883,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-18 16:34:54,卧槽,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-18 16:04:27,？,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-16 13:17:59,弹幕好可爱,0.9515060952164005,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-16 07:23:52,，,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 19:00:00,太酷了！,0.5691830646088247,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 18:46:41,哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 17:08:55,累死我了,0.2897414960675705,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 16:30:00,《左上角有福袋》,0.0991585655137891,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 16:29:45,你干嘛，哈哈哟,0.25210084033613434,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 16:29:27,114514,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 16:28:43,只因,0.45000000000000007,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-14 15:12:18,我撤,0.2413793103448275,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-13 23:05:51,六六六,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-13 22:17:35,zjw20230513,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-13 17:25:44,哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-12 23:26:57,锕,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-11 21:56:49,zjw20230511,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-09 20:42:46,What,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-09 20:42:40,。。,0.47680412371133973,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-09 14:17:31,看过很多遍就是没跳过哈哈哈,0.9886066153648748,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-08 21:45:03,这得重复多少次才能有马甲线呀,0.27048278136962844,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-08 19:45:06,66,0.125,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-06 22:35:50,6666,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-06 21:54:43,zjw20230506,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-06 18:33:19,我,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-06 18:23:53,累死了累死了,0.13030017592075138,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-06 17:38:01,这是什么弹幕？试试,0.8915162510889741,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-05 21:15:47,6,0.38994800693240883,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-04 08:54:58,，。我的小姐姐真的太可爱了gjgpj、,0.9122062801022278,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-04 00:11:09,确实挺不错的,0.9639438815615837,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-03 10:35:24,哈哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-02 13:12:08,厉害，他的重心一直在同一个位置的，这是很难做到的,0.3005554963654453,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-01 21:05:31,加油,0.9047619047619047,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-05-01 14:00:48,哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 21:47:09,有点累,0.4962962962962961,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 20:56:20,好累,0.6283322195921902,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 20:56:08,好累,0.6283322195921902,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 17:45:33,哈哈哈有意思,0.9682561389328699,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 17:32:57,666,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 17:32:43,6,0.38994800693240883,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 11:08:08,跳完前面的已经快死了,0.4552032471113039,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-30 08:38:22,简单啊,0.601837672281776,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-29 18:28:35,啊啊啊啊啊,0.890142453148024,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-29 00:15:01,可爱,0.8088888888888889,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-28 21:15:33,o,0.4285714285714284,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-28 14:54:52,O,0.875,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-27 23:21:00,wow这弹幕,0.8294457583903977,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-27 19:17:12,是,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-27 19:17:06,哥哥,0.9696969696969697,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-27 16:39:06,11,0.27457627118644046,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-27 12:22:38,6,0.38994800693240883,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-27 00:09:03,哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-26 22:54:09,跳的满头是汗,0.0826192640951875,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-26 18:06:47,哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-25 23:33:59,这弹幕我想发,0.7163358442431651,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-24 20:44:11,666,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-24 11:05:03,弹幕都是这样的吗,0.7684327124004398,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-23 23:14:50,⊙∀⊙！,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-22 19:27:14,gdf,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-22 19:27:04,fgdggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-22 19:26:50,gfdgdf,0.5,中性
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-04-22 19:26:37,jnihbihihiu,0.5,中性
